table_name,ordinal_position,column_name,data_type,is_nullable,column_default,foreign_table_name,foreign_column_name
academic_nodes,1,id,uuid,NO,gen_random_uuid(),null,null
academic_nodes,2,parent_id,uuid,YES,null,academic_nodes,id
academic_nodes,3,node_type,character varying,NO,null,null,null
academic_nodes,4,name,character varying,NO,null,null,null
academic_nodes,5,country_id,uuid,YES,null,null,null
academic_nodes,6,display_order,integer,YES,0,null,null
academic_nodes,7,is_active,boolean,YES,true,null,null
academic_nodes,8,created_at,timestamp with time zone,YES,now(),null,null
access_matrix,1,id,uuid,NO,gen_random_uuid(),null,null
access_matrix,2,tier_id,uuid,NO,null,subscription_tiers,id
access_matrix,3,feature_key,character varying,NO,null,null,null
access_matrix,4,access_level,character varying,NO,'aucun'::character varying,null,null
access_matrix,5,limit_value,integer,YES,null,null,null
accounts,1,id,uuid,NO,null,null,null
accounts,2,email,character varying,NO,null,null,null
accounts,3,phone,character varying,YES,null,null,null
accounts,4,first_name,character varying,YES,null,null,null
accounts,5,last_name,character varying,YES,null,null,null
accounts,6,preferred_language_id,uuid,YES,null,null,null
accounts,7,created_at,timestamp with time zone,YES,now(),null,null
accounts,8,status,text,NO,'actif'::text,null,null
admin_permissions,1,admin_user_id,uuid,NO,null,admin_users,id
admin_permissions,2,permission_key,character varying,NO,null,null,null
admin_permissions,3,granted,boolean,YES,true,null,null
admin_users,1,id,uuid,NO,null,null,null
admin_users,2,email,character varying,NO,null,null,null
admin_users,3,role,character varying,NO,null,null,null
admin_users,4,scope_json,jsonb,YES,null,null,null
admin_users,5,created_at,timestamp with time zone,YES,now(),null,null
ai_agent_calls,1,id,uuid,NO,gen_random_uuid(),null,null
ai_agent_calls,2,agent_type,character varying,NO,null,null,null
ai_agent_calls,3,provider,character varying,NO,null,null,null
ai_agent_calls,4,tokens_used,integer,YES,null,null,null
ai_agent_calls,5,cost_estimate,numeric,YES,null,null,null
ai_agent_calls,6,created_at,timestamp with time zone,YES,now(),null,null
ai_content_review,1,id,uuid,NO,gen_random_uuid(),null,null
ai_content_review,2,content_id,uuid,NO,null,null,null
ai_content_review,3,ai_findings_json,jsonb,YES,null,null,null
ai_content_review,4,accepted,boolean,YES,null,null,null
ai_content_review,5,reviewed_by,uuid,YES,null,admin_users,id
ai_content_review,6,created_at,timestamp with time zone,YES,now(),null,null
audit_log,1,id,uuid,NO,gen_random_uuid(),null,null
audit_log,2,admin_user_id,uuid,YES,null,admin_users,id
audit_log,3,action_type,character varying,NO,null,null,null
audit_log,4,entity_type,character varying,NO,null,null,null
audit_log,5,entity_id,uuid,NO,null,null,null
audit_log,6,before_json,jsonb,YES,null,null,null
audit_log,7,after_json,jsonb,YES,null,null,null
audit_log,8,created_at,timestamp with time zone,YES,now(),null,null
chapters,1,id,uuid,NO,gen_random_uuid(),null,null
chapters,2,subject_id,uuid,NO,null,subjects,id
chapters,3,term_id,uuid,YES,null,terms,id
chapters,4,title,character varying,NO,null,null,null
